0.013,0.012,100,20,20000,1600000,0.81,0.74,12,12
0.007,0.008,100,20,200000,1600000,0.78,0.78,7,7
0.004,0.005,100,20,0,700000,0.72,0.79,8,11
0.01,0.007,100,20,100000,500000,0.81,0.88,9,10
0.006,0.008,100,20,100000,1800000,0.73,0.7,8,11
0.01,0.008,100,20,1000,900000,0.74,0.89,9,11
0.006,0.011,100,20,10000,1600000,0.86,0.79,11,11
0.012,0.012,100,20,1000,2000000,0.71,0.8,9,9
0.01,0.012,100,20,0,700000,0.89,0.8,10,13
0.013,0.013,100,20,0,700000,0.8,0.79,10,9
0.01,0.013,100,20,1000,1000000,0.83,0.89,11,9
0.013,0.007,100,20,200000,900000,0.83,0.83,8,11
0.005,0.006,100,20,200000,2000000,0.77,0.76,11,9
0.014,0.005,100,20,10000,1800000,0.82,0.77,7,13
0.007,0.006,100,20,50000,2000000,0.85,0.87,7,9
0.011,0.011,100,20,0,1000000,0.83,0.72,12,10
0.009,0.006,100,20,0,2000000,0.72,0.71,11,13
0.01,0.013,100,20,10000,1200000,0.82,0.87,11,7
0.011,0.009,100,20,1000,1000000,0.87,0.8,10,11
0.009,0.008,100,20,0,1400000,0.72,0.81,8,7
0.007,0.01,100,20,10000,900000,0.79,0.85,8,12
0.014,0.005,100,20,50000,2000000,0.77,0.84,12,7
0.009,0.013,100,20,200000,1400000,0.84,0.87,13,7
0.007,0.008,100,20,100000,2000000,0.81,0.9,11,8
0.015,0.007,100,20,200000,700000,0.74,0.81,8,11
0.006,0.012,100,20,50000,500000,0.85,0.7,11,7
0.014,0.006,100,20,0,900000,0.83,0.81,11,11
0.015,0.006,100,20,200000,2000000,0.8,0.85,12,11
0.013,0.014,100,20,20000,500000,0.76,0.81,7,11
0.007,0.01,100,20,10000,700000,0.89,0.81,8,13
0.015,0.011,100,20,200000,1400000,0.74,0.84,13,7
0.004,0.011,100,20,200000,1000000,0.78,0.73,13,7
0.013,0.008,100,20,50000,700000,0.71,0.85,8,7
0.005,0.009,100,20,20000,1400000,0.8,0.87,7,8
0.013,0.011,100,20,200000,1600000,0.87,0.73,11,9
0.004,0.015,100,20,1000,1000000,0.76,0.84,9,7
0.007,0.013,100,20,1000,1200000,0.84,0.76,7,13
0.01,0.006,100,20,100000,700000,0.84,0.72,11,12
0.013,0.012,100,20,20000,700000,0.84,0.84,10,12
0.008,0.015,100,20,50000,700000,0.78,0.88,9,12
0.007,0.006,100,20,10000,500000,0.7,0.88,13,13
0.006,0.005,100,20,100000,700000,0.81,0.72,8,8
