0.004,0.01,100,20,50000,900000,4,3,8,0.9,0.29
0.004,0.009,100,20,20000,1200000,5,6,5,0.74,0.25
0.015,0.008,100,20,20000,1800000,8,7,1,0.71,0.24
0.014,0.015,100,20,100000,1200000,12,12,3,0.84,0.3
0.008,0.006,100,20,20000,1000000,9,13,9,0.89,0.19
0.012,0.011,100,20,1000,1600000,4,14,2,0.74,0.27
0.009,0.008,100,20,100000,700000,9,6,8,0.81,0.12
0.012,0.009,100,20,200000,1600000,8,10,6,0.9,0.16
0.008,0.014,100,20,100000,500000,9,14,9,0.8,0.18
0.01,0.009,100,20,100000,1600000,5,10,5,0.81,0.22
0.01,0.005,100,20,200000,700000,12,13,10,0.73,0.25
0.006,0.009,100,20,20000,700000,12,6,2,0.81,0.16
0.012,0.004,100,20,50000,1800000,7,10,3,0.72,0.16
0.007,0.011,100,20,200000,500000,13,4,4,0.87,0.22
0.006,0.015,100,20,10000,1200000,8,11,6,0.77,0.16
0.011,0.006,100,20,200000,2000000,12,2,2,0.7,0.15
0.006,0.004,100,20,50000,500000,5,2,2,0.72,0.24
0.005,0.008,100,20,100000,700000,6,5,9,0.84,0.28
0.007,0.01,100,20,200000,2000000,11,6,6,0.86,0.28
0.01,0.007,100,20,1000,1600000,10,13,3,0.77,0.11
0.013,0.004,100,20,20000,1600000,10,14,4,0.79,0.14
0.01,0.015,100,20,50000,500000,4,14,3,0.77,0.27
0.008,0.008,100,20,10000,1000000,6,5,6,0.86,0.3
0.011,0.009,100,20,0,1800000,7,9,9,0.75,0.26
0.005,0.013,100,20,100000,1200000,8,7,9,0.8,0.16
0.006,0.007,100,20,200000,1600000,9,8,5,0.86,0.17
0.007,0.011,100,20,100000,1600000,12,13,3,0.74,0.18
0.01,0.015,100,20,20000,500000,9,9,7,0.75,0.3
0.012,0.005,100,20,20000,900000,9,12,3,0.75,0.24
0.008,0.005,100,20,1000,500000,5,13,5,0.73,0.15
0.013,0.015,100,20,100000,1800000,4,13,10,0.82,0.16
0.01,0.01,100,20,200000,700000,3,14,8,0.87,0.12
0.005,0.011,100,20,50000,1200000,11,13,4,0.82,0.28
0.013,0.007,100,20,1000,1600000,7,4,7,0.9,0.23
0.008,0.012,100,20,0,1800000,11,6,1,0.81,0.2
0.006,0.008,100,20,100000,1200000,2,14,8,0.71,0.16
0.015,0.006,100,20,20000,1200000,7,2,10,0.72,0.22
0.006,0.008,100,20,10000,500000,3,13,5,0.72,0.29
0.004,0.009,100,20,0,1600000,10,10,7,0.7,0.25
0.008,0.007,100,20,200000,1000000,13,12,3,0.78,0.23
0.013,0.012,100,20,20000,1400000,14,11,9,0.88,0.23
0.01,0.015,100,20,1000,1800000,11,9,6,0.86,0.15
0.012,0.011,100,20,1000,1800000,8,8,10,0.78,0.12
0.01,0.015,100,20,20000,700000,11,13,3,0.84,0.16
0.013,0.008,100,20,200000,2000000,6,9,7,0.87,0.11
0.01,0.013,100,20,100000,1000000,3,13,3,0.89,0.13
0.012,0.013,100,20,10000,1800000,5,8,5,0.82,0.15
0.014,0.008,100,20,1000,1400000,7,3,2,0.75,0.24
0.01,0.006,100,20,1000,900000,14,14,6,0.82,0.18
0.004,0.014,100,20,10000,1800000,14,2,2,0.83,0.14
0.004,0.014,100,20,10000,2000000,5,14,6,0.73,0.12
0.013,0.004,100,20,50000,1400000,6,10,2,0.79,0.12
0.006,0.007,100,20,20000,2000000,8,14,9,0.73,0.27
0.007,0.015,100,20,200000,900000,6,11,5,0.88,0.21
0.007,0.006,100,20,20000,2000000,14,6,10,0.9,0.15
0.008,0.011,100,20,20000,1600000,3,7,8,0.72,0.24
0.009,0.005,100,20,100000,1600000,11,3,7,0.79,0.14
0.009,0.015,100,20,10000,1400000,13,4,6,0.82,0.17
0.015,0.012,100,20,1000,1800000,12,4,9,0.78,0.11
0.013,0.008,100,20,1000,1000000,8,5,1,0.9,0.29
0.005,0.01,100,20,0,900000,12,4,7,0.83,0.22
0.01,0.014,100,20,0,500000,7,6,10,0.85,0.15
0.011,0.011,100,20,0,500000,3,11,6,0.88,0.15
